timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1558693783025,64,LoginPage,200,OK,Users 1-1,text,false,Tidy Parser errors:   0 (allowed 0) Tidy Parser warnings: 14 (allowed 0),4023,391,3,3,http://vol4-capybara.herokuapp.com/users/sign_in,64,0,0
1558693783084,62,LoginPage,200,OK,Users 1-2,text,false,Tidy Parser errors:   0 (allowed 0) Tidy Parser warnings: 14 (allowed 0),4038,381,3,3,http://vol4-capybara.herokuapp.com/users/sign_in,59,0,0
1558693783097,71,RegisterPage,200,OK,Users 1-1,text,false,Tidy Parser errors:   0 (allowed 0) Tidy Parser warnings: 15 (allowed 0),4106,379,3,3,http://vol4-capybara.herokuapp.com/users/sign_up,71,0,0
1558693783153,61,RegisterPage,200,OK,Users 1-2,text,false,Tidy Parser errors:   0 (allowed 0) Tidy Parser warnings: 15 (allowed 0),4114,387,4,4,http://vol4-capybara.herokuapp.com/users/sign_up,61,0,0
1558693783193,71,LoginPage,200,OK,Users 1-3,text,false,Tidy Parser errors:   0 (allowed 0) Tidy Parser warnings: 14 (allowed 0),4044,377,4,4,http://vol4-capybara.herokuapp.com/users/sign_in,65,0,0
1558693783268,65,RegisterPage,200,OK,Users 1-3,text,false,Tidy Parser errors:   0 (allowed 0) Tidy Parser warnings: 15 (allowed 0),4112,393,5,5,http://vol4-capybara.herokuapp.com/users/sign_up,65,0,0
1558693783276,62,LoggingIn,200,OK,Users 1-1,text,false,"The result was the wrong size: It was 3 766 bytes, but should have been less than 1 000 bytes.",3766,725,5,5,http://vol4-capybara.herokuapp.com/users/sign_in,62,0,0
1558693783297,63,LoggingIn,200,OK,Users 1-2,text,false,"The result was the wrong size: It was 3 773 bytes, but should have been less than 1 000 bytes.",3773,733,5,5,http://vol4-capybara.herokuapp.com/users/sign_in,62,0,0
1558693783297,65,LoginPage,200,OK,Users 1-4,text,false,Tidy Parser errors:   0 (allowed 0) Tidy Parser warnings: 14 (allowed 0),4044,391,5,5,http://vol4-capybara.herokuapp.com/users/sign_in,61,0,0
1558693783364,67,RegisterPage,200,OK,Users 1-4,text,false,Tidy Parser errors:   0 (allowed 0) Tidy Parser warnings: 15 (allowed 0),4102,393,6,6,http://vol4-capybara.herokuapp.com/users/sign_up,67,0,0
1558693783367,65,LoginPage,200,OK,Users 1-5,text,false,Tidy Parser errors:   0 (allowed 0) Tidy Parser warnings: 14 (allowed 0),4037,385,6,6,http://vol4-capybara.herokuapp.com/users/sign_in,65,0,0
1558693783410,78,LoggingIn,200,OK,Users 1-3,text,false,"The result was the wrong size: It was 3 773 bytes, but should have been less than 1 000 bytes.",3773,731,7,7,http://vol4-capybara.herokuapp.com/users/sign_in,77,0,0
1558693783435,70,RegisterPage,200,OK,Users 1-5,text,false,Tidy Parser errors:   0 (allowed 0) Tidy Parser warnings: 15 (allowed 0),4111,393,7,7,http://vol4-capybara.herokuapp.com/users/sign_up,70,0,0
1558693783490,72,LoginPage,200,OK,Users 1-6,text,false,Tidy Parser errors:   0 (allowed 0) Tidy Parser warnings: 14 (allowed 0),4038,385,7,7,http://vol4-capybara.herokuapp.com/users/sign_in,67,0,0
1558693783565,73,RegisterPage,200,OK,Users 1-6,text,false,Tidy Parser errors:   0 (allowed 0) Tidy Parser warnings: 15 (allowed 0),4104,387,8,8,http://vol4-capybara.herokuapp.com/users/sign_up,73,0,0
1558693783520,127,LoggingIn,200,OK,Users 1-4,text,false,"The result was the wrong size: It was 3 773 bytes, but should have been less than 1 000 bytes.",3773,721,8,8,http://vol4-capybara.herokuapp.com/users/sign_in,104,0,0
